LSMSREGNAME,LSMSREGCODE,LSMSDISTNAME,LSMSDISTCODE,MAPREGNAME,MAPDISNAME
CENTRAL,1,KALANGALA,101,,
CENTRAL,1,KAMPALA,102,,
CENTRAL,1,KIBOGA,103,,
CENTRAL,1,LUWERO,104,,
CENTRAL,1,MASAKA,105,,
CENTRAL,1,MPIGI,106,,
CENTRAL,1,MUBENDE,107,,
CENTRAL,1,MUKONO,108,,
CENTRAL,1,NAKASONGOLA,109,,
CENTRAL,1,RAKAI,110,,
CENTRAL,1,SEMBABULE,111,,
CENTRAL,1,KAYUNGA,112,,
CENTRAL,1,WAKISO,113,,
EASTERN,2,BUGIRI,201,,
EASTERN,2,BUSIA,202,,
EASTERN,2,IGANGA,203,,
EASTERN,2,JINJA,204,,
EASTERN,2,KAMULI,205,,
EASTERN,2,KAPCHORWA,206,,
EASTERN,2,KATAKWI,207,,
EASTERN,2,KUMI,208,,
EASTERN,2,MBALE,209,,
EASTERN,2,PALLISA,210,,
EASTERN,2,SOROTI,211,,
EASTERN,2,TORORO,212,,
EASTERN,2,KABERAMAIDO,213,,
EASTERN,2,MAYUGE,214,,
EASTERN,2,SIRONKO,215,,
NORTHERN,3,ADJUMANI,301,,
NORTHERN,3,APAC,302,,
NORTHERN,3,ARUA,303,,
NORTHERN,3,GULU,304,,
NORTHERN,3,KITGUM,305,,
NORTHERN,3,KOTIDO,306,,
NORTHERN,3,LIRA,307,,
NORTHERN,3,MOROTO,308,,
NORTHERN,3,MOYO,309,,
NORTHERN,3,NEBBI,310,,
NORTHERN,3,NAKAPIRIPIRIT,311,,
NORTHERN,3,PADER,312,,
NORTHERN,3,YUMBE,313,,
WESTERN,4,BUNDUBUGYO,401,,
WESTERN,4,BUSHENYI,402,,
WESTERN,4,HOIMA,403,,
WESTERN,4,KABALE,404,,
WESTERN,4,KABAROLE,405,,
WESTERN,4,KASESE,406,,
WESTERN,4,KIBAALE,407,,
WESTERN,4,KISORO,408,,
WESTERN,4,MASINDI,409,,
WESTERN,4,MBARARA,410,,
WESTERN,4,NTUGAMO,411,,
WESTERN,4,RUKUNGIRI,412,,
WESTERN,4,KAMWENGE,413,,
WESTERN,4,KANUNGU,414,,
WESTERN,4,KYENJOJO,415,,
